all_data	field_site	chimp_group	subject	 subject_no	subject_sex	subject_age	subject_age_class	subject_dob	subject_rank	caregiver_no	date_survey	year_survey	general_risk	food_risk	snake_risk	escape_risk	hierarchy_risk	strangers_risk	total_risk	ranking_risk
17	uganda	ngamba_chimps	katie	subject17	female	31	adult	1987	27	caregiver1	06.11.18	2018	3	4	3	4	3	4	3.5	36
18	uganda	ngamba_chimps	kazahukire	subject18	female	19	young_adult	1999	23	caregiver1	06.11.18	2018	2	3	2	1	3	1	2	29
19	uganda	ngamba_chimps	kidogo	subject19	female	34	adult	1984	11	caregiver1	06.11.18	2018	3	4	2	2	4	3	3	42
20	uganda	ngamba_chimps	kisembo	subject20	male	19	young_adult	1999	4	caregiver1	06.11.18	2018	3	4	2	2	4	3	3	8
21	uganda	ngamba_chimps	kityo	subject21	male	14	adolescent	2004	16	caregiver1	06.11.18	2018	3	3	2	1	4	2	2.5	5
22	uganda	ngamba_chimps	kyewuunyo	subject22	female	16	young_adult	2002	28	caregiver1	06.11.18	2018	3	3	2	4	4	1	2.833333333	35
23	uganda	ngamba_chimps	maisko	subject23	male	34	adult	1984	9	caregiver1	06.11.18	2018	4	4	2	3	4	0	2.833333333	37
24	uganda	ngamba_chimps	mawa	subject24	male	22	adult	1996	19	caregiver1	06.11.18	2018	3	3	1	4	4	1	2.666666667	16
25	uganda	ngamba_chimps	medina	subject25	female	11	adolescent	2007	45	caregiver1	06.11.18	2018	3	2	0	2	3	3	2.166666667	14
26	uganda	ngamba_chimps	megan	subject26	female	34	adult	1984	12	caregiver1	06.11.18	2018	3	4	2	4	4	1	3	44
27	uganda	ngamba_chimps	mini	subject27	female	11	adolescent	2007	35	caregiver1	06.11.18	2018	3	3	1	2	3	0	2	31
28	uganda	ngamba_chimps	nagoti	subject28	female	32	adult	1986	21	caregiver1	06.11.18	2018	4	3	3	1	4	0	2.5	15
29	uganda	ngamba_chimps	nakuu	subject29	female	17	young_adult	2001	44	caregiver1	06.11.18	2018	3	2	2	1	2	3	2.166666667	30
30	uganda	ngamba_chimps	namukisa	subject30	female	20	young_adult	1998	41	caregiver1	06.11.18	2018	3	2	1	1	3	4	2.333333333	3
31	uganda	ngamba_chimps	nani	subject31	female	17	young_adult	2001	43	caregiver1	06.11.18	2018	3	2		1	2	4	2.4	6
32	uganda	ngamba_chimps	natasha	subject32	female	28	adult	1990	14	caregiver1	06.11.18	2018	4	4	3	2	4	0	2.833333333	49
33	uganda	ngamba_chimps	ndyakira	subject33	female	19	young_adult	1999	24	caregiver1	06.11.18	2018	3	3	1	3	3	3	2.666666667	28
34	uganda	ngamba_chimps	nkuumwa	subject34	female	22	adult	1996	29	caregiver1	06.11.18	2018	3	3	3	2	3	2	2.666666667	19
35	uganda	ngamba_chimps	okech	subject35	male	19	young_adult	1999	2	caregiver1	06.11.18	2018	3	3	2	2	4	2	2.666666667	22
36	uganda	ngamba_chimps	pasa	subject36	female	19	young_adult	1999	39	caregiver1	06.11.18	2018	4	4	3	4	4	4	3.833333333	48
37	uganda	ngamba_chimps	peace	subject37	female	32	adult	1986	20	caregiver1	06.11.18	2018	3	2	1	1	3	1	1.833333333	4
38	uganda	ngamba_chimps	rambo	subject38	male	14	adolescent	2004	32	caregiver1	06.11.18	2018	4	3	2	2	4	1	2.666666667	38
39	uganda	ngamba_chimps	robbie	subject39	male	32	adult	1986	7	caregiver1	06.11.18	2018	4	4	2	1	4	2	2.833333333	33
40	uganda	ngamba_chimps	ruparelia	subject40	female	2	infant	2016	48	caregiver1	06.11.18	2018	3	3	2	0	3	0	1.833333333	34
41	uganda	ngamba_chimps	rutoto	subject41	male	14	adolescent	2004	31	caregiver1	06.11.18	2018	2	3	2	0	3	2	2	26
42	uganda	ngamba_chimps	sally	subject42	female	27	adult	1991	26	caregiver1	06.11.18	2018	3	3	2	4	3	3	3	40
43	uganda	ngamba_chimps	sara	subject43	female	8	juvenile	2010	30	caregiver1	06.11.18	2018	3	3	2	3	4	1	2.666666667	46
44	uganda	ngamba_chimps	sophie	subject44	female	32	adult	1986	13	caregiver1	06.11.18	2018	3	4	2	3	4	2	3	41
45	uganda	ngamba_chimps	sunday	subject45	male	31	adult	1987	34	caregiver1	06.11.18	2018	4	2	3	4	3	0	2.666666667	20
46	uganda	ngamba_chimps	tumbo	subject46	male	29	adult	1989	8	caregiver1	06.11.18	2018	3	4	1	1	4	1	2.333333333	11
47	uganda	ngamba_chimps	umugenzi	subject47	male	21	adult	1997	18	caregiver1	06.11.18	2018	3	3	2	2	3	0	2.166666667	24
48	uganda	ngamba_chimps	umutama	subject48	male	22	adult	1996	1	caregiver1	06.11.18	2018	4	3	2	1	4	3	2.833333333	45
49	uganda	ngamba_chimps	yoyo	subject49	female	20	young_adult	1998	36	caregiver1	06.11.18	2018	3	4	2	4	3	2	3	47
50	uganda	ngamba_chimps	afrika	subject1	female	9	juvenile	2009	46	caregiver2	02.12.18	2018	0	0	0	0	0	0	0	11
51	uganda	ngamba_chimps	asega	subject2	male	20	young_adult	1998	10	caregiver2	02.12.18	2018	4	4	4	4	4	4	4	48
52	uganda	ngamba_chimps	bahati	subject3	female	28	adult	1990	40	caregiver2	02.12.18	2018	0	0	0	0	1	0	0.166666667	3
53	uganda	ngamba_chimps	baluku	subject4	male	20	young_adult	1998	15	caregiver2	02.12.18	2018	4	4		0	4	0	2.4	26
54	uganda	ngamba_chimps	baron	subject5	male	16	young_adult	2002	33	caregiver2	02.12.18	2018	1	1	0	0	4	3	1.5	9
55	uganda	ngamba_chimps	becky	subject6	female	27	adult	1991	25	caregiver2	02.12.18	2018	4	4	3	0	0	0	1.833333333	30
56	uganda	ngamba_chimps	bili	subject7	female	20	young_adult	1998	42	caregiver2	02.12.18	2018	4	4	4	0	2	4	3	6
57	uganda	ngamba_chimps	bwambale	subject8	male	18	young_adult	2000	5	caregiver2	02.12.18	2018	4	4	4	0	4	4	3.333333333	33
58	uganda	ngamba_chimps	cindy	subject9	female	25	adult	1993	37	caregiver2	02.12.18	2018	1	1	1	0	0	0	0.5	15
59	uganda	ngamba_chimps	cocoa	subject10	female	11	adolescent	2007	47	caregiver2	02.12.18	2018	4	3	4	4	1	2	3	4
60	uganda	ngamba_chimps	connie	subject11	female	29	adult	1989	22	caregiver2	02.12.18	2018	3	3	3	0	3	3	2.5	16
61	uganda	ngamba_chimps	easy	subject12	male	3	infant	2015	49	caregiver2	02.12.18	2018	4	3	2	0	0	4	2.166666667	1
62	uganda	ngamba_chimps	eddy	subject13	male	29	adult	1989	17	caregiver2	02.12.18	2018	4	4	3	4	4	2	3.5	28
63	uganda	ngamba_chimps	ikuru	subject14	female	23	adult	1995	38	caregiver2	02.12.18	2018	4	4	4	0	2	4	3	24
64	uganda	ngamba_chimps	indi	subject15	male	19	young_adult	1999	6	caregiver2	02.12.18	2018	4	4	4	0	4	3	3.166666667	37
65	uganda	ngamba_chimps	kalema	subject16	male	22	adult	1996	3	caregiver2	02.12.18	2018	4	4	4	4	4	3	3.833333333	40
66	uganda	ngamba_chimps	katie	subject17	female	31	adult	1987	27	caregiver2	02.12.18	2018	4	4	3	4	2	4	3.5	21
67	uganda	ngamba_chimps	kazahukire	subject18	female	19	young_adult	1999	23	caregiver2	02.12.18	2018	3	1	1	0	1	0	1	13
68	uganda	ngamba_chimps	kidogo	subject19	female	34	adult	1984	11	caregiver2	02.12.18	2018	4	4	4	1	4	0	2.833333333	32
69	uganda	ngamba_chimps	kisembo	subject20	male	19	young_adult	1999	4	caregiver2	02.12.18	2018	4	4	2	4	4	1	3.166666667	34
70	uganda	ngamba_chimps	kityo	subject21	male	14	adolescent	2004	16	caregiver2	02.12.18	2018	4	4	4	2	4	0	3	38
71	uganda	ngamba_chimps	kyewuunyo	subject22	female	16	young_adult	2002	28	caregiver2	02.12.18	2018	4	4	4	4	4	2	3.666666667	22
72	uganda	ngamba_chimps	maisko	subject23	male	34	adult	1984	9	caregiver2	02.12.18	2018	4	4	4	0	4	0	2.666666667	44
73	uganda	ngamba_chimps	mawa	subject24	male	22	adult	1996	19	caregiver2	02.12.18	2018	4	4	4	4	4	4	4	49
74	uganda	ngamba_chimps	medina	subject25	female	11	adolescent	2007	45	caregiver2	02.12.18	2018	4	4	4	4	0	4	3.333333333	20
75	uganda	ngamba_chimps	megan	subject26	female	34	adult	1984	12	caregiver2	02.12.18	2018	4	4	4	4	4	0	3.333333333	41
76	uganda	ngamba_chimps	mini	subject27	female	11	adolescent	2007	35	caregiver2	02.12.18	2018	4	4	4	4	3	0	3.166666667	23
77	uganda	ngamba_chimps	nagoti	subject28	female	32	adult	1986	21	caregiver2	02.12.18	2018	0	0	0	0	4	0	0.666666667	18
78	uganda	ngamba_chimps	nakuu	subject29	female	17	young_adult	2001	44	caregiver2	02.12.18	2018	0	0	4	0	0	3	1.166666667	12
79	uganda	ngamba_chimps	namukisa	subject30	female	20	young_adult	1998	41	caregiver2	02.12.18	2018	4	4	3	0	0	4	2.5	5
80	uganda	ngamba_chimps	nani	subject31	female	17	young_adult	2001	43	caregiver2	02.12.18	2018	4	3	3	0	0	2	2	10
81	uganda	ngamba_chimps	natasha	subject32	female	28	adult	1990	14	caregiver2	02.12.18	2018	4	4	4	0	4	0	2.666666667	42
82	uganda	ngamba_chimps	ndyakira	subject33	female	19	young_adult	1999	24	caregiver2	02.12.18	2018	3	3	2	4	4	0	2.666666667	14
83	uganda	ngamba_chimps	nkuumwa	subject34	female	22	adult	1996	29	caregiver2	02.12.18	2018	4	4	4	0	2	0	2.333333333	31
84	uganda	ngamba_chimps	okech	subject35	male	19	young_adult	1999	2	caregiver2	02.12.18	2018	4	4	4	0	4	3	3.166666667	46
85	uganda	ngamba_chimps	pasa	subject36	female	19	young_adult	1999	39	caregiver2	02.12.18	2018	4	4	4	4	3	4	3.833333333	47
86	uganda	ngamba_chimps	peace	subject37	female	32	adult	1986	20	caregiver2	02.12.18	2018	0	0	0	0	0	0	0	2
87	uganda	ngamba_chimps	rambo	subject38	male	14	adolescent	2004	32	caregiver2	02.12.18	2018	4	3	3	0	2	0	2	17
88	uganda	ngamba_chimps	robbie	subject39	male	32	adult	1986	7	caregiver2	02.12.18	2018	4	4	3	0	3	2	2.666666667	39
89	uganda	ngamba_chimps	ruparelia	subject40	female	2	infant	2016	48	caregiver2	02.12.18	2018	4	4	2	0	0	0	1.666666667	7
90	uganda	ngamba_chimps	rutoto	subject41	male	14	adolescent	2004	31	caregiver2	02.12.18	2018	0	0	2	0	3	0	0.833333333	8
91	uganda	ngamba_chimps	sally	subject42	female	27	adult	1991	26	caregiver2	02.12.18	2018	4	4	4	0	0	0	2	29
92	uganda	ngamba_chimps	sara	subject43	female	8	juvenile	2010	30	caregiver2	02.12.18	2018	4	4	4	4	0	4	3.333333333	19
93	uganda	ngamba_chimps	sophie	subject44	female	32	adult	1986	13	caregiver2	02.12.18	2018	4	4	3	1	4	0	2.666666667	35
94	uganda	ngamba_chimps	sunday	subject45	male	31	adult	1987	34	caregiver2	02.12.18	2018	4	4	2	2	0	0	2	45
95	uganda	ngamba_chimps	tumbo	subject46	male	29	adult	1989	8	caregiver2	02.12.18	2018	3	4	3	0	3	0	2.166666667	36
96	uganda	ngamba_chimps	umugenzi	subject47	male	21	adult	1997	18	caregiver2	02.12.18	2018	4	4	4	0	4	0	2.666666667	25
97	uganda	ngamba_chimps	umutama	subject48	male	22	adult	1996	1	caregiver2	02.12.18	2018	4	4	3	3	3	0	2.833333333	43
98	uganda	ngamba_chimps	yoyo	subject49	female	20	young_adult	1998	36	caregiver2	02.12.18	2018	3	3	4	4	0	2	2.666666667	27
99	uganda	ngamba_chimps	afrika	subject1	female	9	juvenile	2009	46	caregiver3	21.11.18	2018	4	2	2	1	0	0	1.5	36
100	uganda	ngamba_chimps	asega	subject2	male	20	young_adult	1998	10	caregiver3	21.11.18	2018	3	3	2	2	4	3	2.833333333	46
101	uganda	ngamba_chimps	bahati	subject3	female	28	adult	1990	40	caregiver3	21.11.18	2018	2	3	2	0	0	0	1.166666667	3
102	uganda	ngamba_chimps	baluku	subject4	male	20	young_adult	1998	15	caregiver3	21.11.18	2018	4	4	2	1	3	2	2.666666667	43
103	uganda	ngamba_chimps	baron	subject5	male	16	young_adult	2002	33	caregiver3	21.11.18	2018	3	2	1	0	2	1	1.5	6
104	uganda	ngamba_chimps	becky	subject6	female	27	adult	1991	25	caregiver3	21.11.18	2018	4	4	3	2	1	1	2.5	39
105	uganda	ngamba_chimps	bili	subject7	female	20	young_adult	1998	42	caregiver3	21.11.18	2018	2	2	3	2	2	3	2.333333333	40
106	uganda	ngamba_chimps	bwambale	subject8	male	18	young_adult	2000	5	caregiver3	21.11.18	2018	2	2	2	2	3	3	2.333333333	1
107	uganda	ngamba_chimps	cindy	subject9	female	25	adult	1993	37	caregiver3	21.11.18	2018	3	2	2	0	2	1	1.666666667	8
108	uganda	ngamba_chimps	cocoa	subject10	female	11	adolescent	2007	47	caregiver3	21.11.18	2018	3	0	4	3	0	2	2	22
109	uganda	ngamba_chimps	connie	subject11	female	29	adult	1989	22	caregiver3	21.11.18	2018	3	2	2	0	2	3	2	12
110	uganda	ngamba_chimps	easy	subject12	male	3	infant	2015	49	caregiver3	21.11.18	2018	3	3	2	0	2	3	2.166666667	5
111	uganda	ngamba_chimps	eddy	subject13	male	29	adult	1989	17	caregiver3	21.11.18	2018	3	3	2	3	2	2	2.5	24
112	uganda	ngamba_chimps	ikuru	subject14	female	23	adult	1995	38	caregiver3	21.11.18	2018	3	1	1	0	0	2	1.166666667	23
113	uganda	ngamba_chimps	indi	subject15	male	19	young_adult	1999	6	caregiver3	21.11.18	2018	3	4	3	3	2	2	2.833333333	25
114	uganda	ngamba_chimps	kalema	subject16	male	22	adult	1996	3	caregiver3	21.11.18	2018	4	4	2	3	4	2	3.166666667	41
115	uganda	ngamba_chimps	katie	subject17	female	31	adult	1987	27	caregiver3	21.11.18	2018	3	4	4	2	2	1	2.666666667	34
116	uganda	ngamba_chimps	kazahukire	subject18	female	19	young_adult	1999	23	caregiver3	21.11.18	2018	4	2	2	1	2	2	2.166666667	19
117	uganda	ngamba_chimps	kidogo	subject19	female	34	adult	1984	11	caregiver3	21.11.18	2018	4	4	3	3	4	2	3.333333333	11
118	uganda	ngamba_chimps	kisembo	subject20	male	19	young_adult	1999	4	caregiver3	21.11.18	2018	4	3	0	3	4	0	2.333333333	27
119	uganda	ngamba_chimps	kityo	subject21	male	14	adolescent	2004	16	caregiver3	21.11.18	2018	2	2	3	0	4	0	1.833333333	30
120	uganda	ngamba_chimps	kyewuunyo	subject22	female	16	young_adult	2002	28	caregiver3	21.11.18	2018	3	3	4	3	3	2	3	42
121	uganda	ngamba_chimps	maisko	subject23	male	34	adult	1984	9	caregiver3	21.11.18	2018	2	4	3	2	4	3	3	31
122	uganda	ngamba_chimps	mawa	subject24	male	22	adult	1996	19	caregiver3	21.11.18	2018	4	4	3	3	4	2	3.333333333	47
123	uganda	ngamba_chimps	medina	subject25	female	11	adolescent	2007	45	caregiver3	21.11.18	2018	3	2	1	2	0	3	1.833333333	20
124	uganda	ngamba_chimps	megan	subject26	female	34	adult	1984	12	caregiver3	21.11.18	2018	4	4	3	3	4	2	3.333333333	38
125	uganda	ngamba_chimps	mini	subject27	female	11	adolescent	2007	35	caregiver3	21.11.18	2018	4	4	2	2	2	3	2.833333333	18
126	uganda	ngamba_chimps	nagoti	subject28	female	32	adult	1986	21	caregiver3	21.11.18	2018	2	2	0	0	1	0	0.833333333	2
127	uganda	ngamba_chimps	nakuu	subject29	female	17	young_adult	2001	44	caregiver3	21.11.18	2018	3	2	2	3	0	3	2.166666667	45
128	uganda	ngamba_chimps	namukisa	subject30	female	20	young_adult	1998	41	caregiver3	21.11.18	2018	1	1	1	1	3	3	1.666666667	7
129	uganda	ngamba_chimps	nani	subject31	female	17	young_adult	2001	43	caregiver3	21.11.18	2018	3	3	2	0	3	3	2.333333333	44
130	uganda	ngamba_chimps	natasha	subject32	female	28	adult	1990	14	caregiver3	21.11.18	2018	4	4	2	2	4	1	2.833333333	35
131	uganda	ngamba_chimps	ndyakira	subject33	female	19	young_adult	1999	24	caregiver3	21.11.18	2018	3	4	2	3	1	1	2.333333333	32
132	uganda	ngamba_chimps	nkuumwa	subject34	female	22	adult	1996	29	caregiver3	21.11.18	2018	3	2	4	1	2	2	2.333333333	26
133	uganda	ngamba_chimps	okech	subject35	male	19	young_adult	1999	2	caregiver3	21.11.18	2018	4	4	3	2	4	3	3.333333333	37
134	uganda	ngamba_chimps	pasa	subject36	female	19	young_adult	1999	39	caregiver3	21.11.18	2018	4	3	3	4	3	4	3.5	48
135	uganda	ngamba_chimps	peace	subject37	female	32	adult	1986	20	caregiver3	21.11.18	2018	0	2	2	1	1	0	1	13
136	uganda	ngamba_chimps	rambo	subject38	male	14	adolescent	2004	32	caregiver3	21.11.18	2018	2	1	1	0	3	2	1.5	16
137	uganda	ngamba_chimps	robbie	subject39	male	32	adult	1986	7	caregiver3	21.11.18	2018	2	3	3	0	3	1	2	
138	uganda	ngamba_chimps	ruparelia	subject40	female	2	infant	2016	48	caregiver3	21.11.18	2018	2	4	0	0	0	2	1.333333333	4
139	uganda	ngamba_chimps	rutoto	subject41	male	14	adolescent	2004	31	caregiver3	21.11.18	2018	2	2	2	0	3	2	1.833333333	15
140	uganda	ngamba_chimps	sally	subject42	female	27	adult	1991	26	caregiver3	21.11.18	2018	2	1	2	0	0	0	0.833333333	21
141	uganda	ngamba_chimps	sara	subject43	female	8	juvenile	2010	30	caregiver3	21.11.18	2018	4	4	1	3	3	3	3	
142	uganda	ngamba_chimps	sophie	subject44	female	32	adult	1986	13	caregiver3	21.11.18	2018	3	3	3	3	3	2	2.833333333	28
143	uganda	ngamba_chimps	sunday	subject45	male	31	adult	1987	34	caregiver3	21.11.18	2018	4	3	2	1	0	0	1.666666667	49
144	uganda	ngamba_chimps	tumbo	subject46	male	29	adult	1989	8	caregiver3	21.11.18	2018	3	3	2	1	2	1	2	10
145	uganda	ngamba_chimps	umugenzi	subject47	male	21	adult	1997	18	caregiver3	21.11.18	2018	4	3	2	3	3	2	2.833333333	9
146	uganda	ngamba_chimps	umutama	subject48	male	22	adult	1996	1	caregiver3	21.11.18	2018	3	3	3	1	3	1	2.333333333	29
147	uganda	ngamba_chimps	yoyo	subject49	female	20	young_adult	1998	36	caregiver3	21.11.18	2018	4	3	2	3	3	2	2.833333333	17
148	uganda	ngamba_chimps	afrika	subject1	female	9	juvenile	2009	46	caregiver4	20.11.18	2018	2	3	2	2	2	2	2.166666667	13
149	uganda	ngamba_chimps	asega	subject2	male	20	young_adult	1998	10	caregiver4	20.11.18	2018	4	4	4	4	4	3	3.833333333	48
150	uganda	ngamba_chimps	bahati	subject3	female	28	adult	1990	40	caregiver4	20.11.18	2018	2	2	2	0	2	1	1.5	9
151	uganda	ngamba_chimps	baluku	subject4	male	20	young_adult	1998	15	caregiver4	20.11.18	2018	3	3	2	1	2	1	2	31
152	uganda	ngamba_chimps	baron	subject5	male	16	young_adult	2002	33	caregiver4	20.11.18	2018	3	3	3	0	3	2	2.333333333	17
153	uganda	ngamba_chimps	becky	subject6	female	27	adult	1991	25	caregiver4	20.11.18	2018	3	3	4	1	3	0	2.333333333	22
154	uganda	ngamba_chimps	bili	subject7	female	20	young_adult	1998	42	caregiver4	20.11.18	2018	2	3	3	2	2	4	2.666666667	3
155	uganda	ngamba_chimps	bwambale	subject8	male	18	young_adult	2000	5	caregiver4	20.11.18	2018	3	2	4	0	4	3	2.666666667	42
156	uganda	ngamba_chimps	cindy	subject9	female	25	adult	1993	37	caregiver4	20.11.18	2018	3	2	3	0	2	0	1.666666667	16
157	uganda	ngamba_chimps	cocoa	subject10	female	11	adolescent	2007	47	caregiver4	20.11.18	2018	3	3	3	3	3	2	2.833333333	8
158	uganda	ngamba_chimps	connie	subject11	female	29	adult	1989	22	caregiver4	20.11.18	2018	2	2	3	0	3	2	2	19
159	uganda	ngamba_chimps	easy	subject12	male	3	infant	2015	49	caregiver4	20.11.18	2018	2	3	2	0	1	4	2	1
160	uganda	ngamba_chimps	eddy	subject13	male	29	adult	1989	17	caregiver4	20.11.18	2018	2	1	3	3	2	0	1.833333333	36
161	uganda	ngamba_chimps	ikuru	subject14	female	23	adult	1995	38	caregiver4	20.11.18	2018	2	3	2	0	2	3	2	39
162	uganda	ngamba_chimps	indi	subject15	male	19	young_adult	1999	6	caregiver4	20.11.18	2018	3	3	3	2	3	1	2.5	33
163	uganda	ngamba_chimps	kalema	subject16	male	22	adult	1996	3	caregiver4	20.11.18	2018	4	4	3	4	3	2	3.333333333	45
164	uganda	ngamba_chimps	katie	subject17	female	31	adult	1987	27	caregiver4	20.11.18	2018	3	3	3	4	2	2	2.833333333	23
165	uganda	ngamba_chimps	kazahukire	subject18	female	19	young_adult	1999	23	caregiver4	20.11.18	2018	3	2	3	2	3	1	2.333333333	11
166	uganda	ngamba_chimps	kidogo	subject19	female	34	adult	1984	11	caregiver4	20.11.18	2018	3	2	3	2	4	1	2.5	35
167	uganda	ngamba_chimps	kisembo	subject20	male	19	young_adult	1999	4	caregiver4	20.11.18	2018	4	4	4	4	4	2	3.666666667	46
168	uganda	ngamba_chimps	kityo	subject21	male	14	adolescent	2004	16	caregiver4	20.11.18	2018	3	3	3	2	4	1	2.666666667	41
169	uganda	ngamba_chimps	kyewuunyo	subject22	female	16	young_adult	2002	28	caregiver4	20.11.18	2018	3	3	3	3	3	2	2.833333333	24
170	uganda	ngamba_chimps	maisko	subject23	male	34	adult	1984	9	caregiver4	20.11.18	2018	4	3	4	1	3	0	2.5	44
171	uganda	ngamba_chimps	mawa	subject24	male	22	adult	1996	19	caregiver4	20.11.18	2018	4	4	4	4	3	4	3.833333333	49
172	uganda	ngamba_chimps	medina	subject25	female	11	adolescent	2007	45	caregiver4	20.11.18	2018	3	3	2	3	1	4	2.666666667	2
173	uganda	ngamba_chimps	megan	subject26	female	34	adult	1984	12	caregiver4	20.11.18	2018	4	4	4	3	4	0	3.166666667	37
174	uganda	ngamba_chimps	mini	subject27	female	11	adolescent	2007	35	caregiver4	20.11.18	2018	4	3	3	2	3	2	2.833333333	10
175	uganda	ngamba_chimps	nagoti	subject28	female	32	adult	1986	21	caregiver4	20.11.18	2018	3	2	3	1	2	0	1.833333333	21
176	uganda	ngamba_chimps	nakuu	subject29	female	17	young_adult	2001	44	caregiver4	20.11.18	2018	2	3	3	3	2	4	2.833333333	6
177	uganda	ngamba_chimps	namukisa	subject30	female	20	young_adult	1998	41	caregiver4	20.11.18	2018	1	1	2	2	2	4	2	4
178	uganda	ngamba_chimps	nani	subject31	female	17	young_adult	2001	43	caregiver4	20.11.18	2018	2	2	3	0	2	3	2	7
179	uganda	ngamba_chimps	natasha	subject32	female	28	adult	1990	14	caregiver4	20.11.18	2018	4	3	4	4	4	0	3.166666667	34
180	uganda	ngamba_chimps	ndyakira	subject33	female	19	young_adult	1999	24	caregiver4	20.11.18	2018	3	3	2	3	3	2	2.666666667	30
181	uganda	ngamba_chimps	nkuumwa	subject34	female	22	adult	1996	29	caregiver4	20.11.18	2018	2	2	2	0	2	1	1.5	12
182	uganda	ngamba_chimps	okech	subject35	male	19	young_adult	1999	2	caregiver4	20.11.18	2018	4	4	4	0	4	3	3.166666667	47
183	uganda	ngamba_chimps	pasa	subject36	female	19	young_adult	1999	39	caregiver4	20.11.18	2018	3	4	2	4	2	4	3.166666667	18
184	uganda	ngamba_chimps	peace	subject37	female	32	adult	1986	20	caregiver4	20.11.18	2018	2	2	3	0	3	0	1.666666667	25
185	uganda	ngamba_chimps	rambo	subject38	male	14	adolescent	2004	32	caregiver4	20.11.18	2018	3	2	2	0	3	3	2.166666667	15
186	uganda	ngamba_chimps	robbie	subject39	male	32	adult	1986	7	caregiver4	20.11.18	2018	3	3	3	1	3	2	2.5	40
187	uganda	ngamba_chimps	ruparelia	subject40	female	2	infant	2016	48	caregiver4	20.11.18	2018	3	3	3	0	2	0	1.833333333	5
188	uganda	ngamba_chimps	rutoto	subject41	male	14	adolescent	2004	31	caregiver4	20.11.18	2018	2	2	3	0	3	3	2.166666667	14
189	uganda	ngamba_chimps	sally	subject42	female	27	adult	1991	26	caregiver4	20.11.18	2018	2	2	3	1	2	1	1.833333333	20
190	uganda	ngamba_chimps	sara	subject43	female	8	juvenile	2010	30	caregiver4	20.11.18	2018	3	4	3	4	3	3	3.333333333	28
191	uganda	ngamba_chimps	sophie	subject44	female	32	adult	1986	13	caregiver4	20.11.18	2018	3	3	3	2	4	1	2.666666667	26
192	uganda	ngamba_chimps	sunday	subject45	male	31	adult	1987	34	caregiver4	20.11.18	2018	4	3	4	3	2	0	2.666666667	27
193	uganda	ngamba_chimps	tumbo	subject46	male	29	adult	1989	8	caregiver4	20.11.18	2018	2	2	3	2	2	2	2.166666667	29
194	uganda	ngamba_chimps	umugenzi	subject47	male	21	adult	1997	18	caregiver4	20.11.18	2018	4	4	3	2	2	0	2.5	32
195	uganda	ngamba_chimps	umutama	subject48	male	22	adult	1996	1	caregiver4	20.11.18	2018	4	4	4	1	3	3	3.166666667	43
196	uganda	ngamba_chimps	yoyo	subject49	female	20	young_adult	1998	36	caregiver4	20.11.18	2018	2	2	3	3	2	2	2.333333333	38
